prey_mse,prey_mae,prey_r2,predator_mse,predator_mae,predator_r2
1.8639514103849243e-15,3.1218528741550066e-08,0.999999999999998,8.73718022683847e-15,5.369186401010806e-08,0.9999999999999984
4.472504433520446e-15,4.1494369511507754e-08,0.999999999999999,4.582674928713069e-15,4.5058727234925656e-08,0.9999999999999981
1.7101581319488532e-15,3.0345916756657767e-08,0.9999999999999959,1.7725153604962248e-15,3.236293791786249e-08,0.9999999999999974
9.634663910767284e-16,2.572536468847808e-08,0.9999999999994374,8.623101168721567e-16,2.4099349981154816e-08,0.9999999999989212
2.3298014171681773e-15,3.5638809192106716e-08,0.9999999999999966,2.2731887842623756e-15,3.6950111394484786e-08,0.9999999999999979
2.421189150090536e-15,3.561258316353566e-08,0.9999999999999981,2.141370602713671e-15,3.2932758351478244e-08,0.9999999999999978
1.6175977179082867e-15,3.06367874036706e-08,0.9999999999999978,2.2398512569418676e-15,3.5710334791438926e-08,0.9999999999999984
9.680289279296374e-16,2.557277678894021e-08,0.9999999999999906,8.019739543973339e-16,2.2280216223913296e-08,0.9999999999999909
5.313817722021325e-15,4.890680312563678e-08,0.9999999999999987,2.1608661873127057e-15,3.1743049616617117e-08,0.9999999999999983
2.6812693956860416e-15,3.681421280321562e-08,0.9999999999999987,1.8632590584584e-15,3.228187561377105e-08,0.9999999999999977
1.4654989400829091e-15,2.8774738305981097e-08,0.9999999999999981,5.284871634215817e-15,4.604578017708416e-08,0.999999999999999
8.537676874379621e-16,2.4046897885154906e-08,0.9999999999999817,7.534072215489105e-16,2.2802352913631195e-08,0.9999999999999855
8.279471328380863e-16,2.357006072650769e-08,0.9999999999999852,9.023733579902482e-16,2.5081634514867447e-08,0.9999999999999853
8.847428043305403e-16,2.3794174205393757e-08,0.9999999999999805,1.0728149393109875e-15,2.79760360766268e-08,0.9999999999999745
7.985059368950581e-16,2.300262451321311e-08,0.9999999999999718,2.1948017069339223e-15,3.16715240411547e-08,0.9999999999999993
1.907841351452105e-15,3.2901763914461316e-08,0.9999999999999968,1.4852571463281094e-15,3.018856050251984e-08,0.9999999999999962
9.01848125649523e-16,2.521038056535474e-08,0.9999999999999716,8.371853258127598e-16,2.3336410519547712e-08,0.9999999999999784
1.5145928960618611e-15,2.9635429383834123e-08,0.9999999999999946,9.140740077910202e-16,2.494812011644143e-08,0.9999999999999942
7.977155290428622e-16,2.37417221071734e-08,0.9999999999999876,8.650681592248895e-16,2.5601387023677092e-08,0.9999999999999802
8.740153134070391e-16,2.4456977841258444e-08,0.9999999999999942,1.0088970730498355e-15,2.3996829987549263e-08,0.9999999999999982
7.080330995317725e-16,2.1607875829166012e-08,0.9999999999999735,7.371613720434779e-16,2.1748542781141468e-08,0.9999999999999617
2.3748162911082688e-15,3.444433212207443e-08,0.9999999999999981,3.471084258703533e-15,4.2042732248948054e-08,0.9999999999999979
2.356456433304756e-15,3.564357756502545e-08,0.9999999999999979,2.499998808381715e-05,0.0005000432658195353,0.9999906343138099
1.4091364726199379e-14,7.19857215636388e-08,0.999999999999999,1.5311808580331816e-14,6.774425507727333e-08,0.9999999999999991
8.199242529824366e-16,2.3965835571071457e-08,0.9999999999999889,8.386277281177579e-16,2.2709369663087564e-08,0.9999999999999944
1.2412010051499401e-14,6.457567215623072e-08,0.9999999999999982,3.56352302825108e-15,4.160881043824283e-08,0.9999999999999988
8.47651335245862e-16,2.4657249446669028e-08,0.9999999999999727,7.663021505375954e-16,2.2904872893358964e-08,0.9999999999999817
9.059544935963784e-16,2.5668144227886103e-08,0.9999999999999553,7.682979225780076e-16,2.3055076587841227e-08,0.9999999999999315
8.150834677622585e-16,2.2897720337033967e-08,0.9999999999999911,8.701374553602614e-16,2.5143623352819056e-08,0.9999999999999882
